"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:29 CST 2020","336","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-杭州战营1]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:31 CST 2020","Thu Mar 19 12:06:33 CST 2020","1624","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-广东战区]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","127","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-911587957]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:28 CST 2020","329","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingGetUserLeader[userId=-manager2564-id为曹林]","
        钉钉-获取用户上级详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","189","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-242030847]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:32 CST 2020","Thu Mar 19 12:06:32 CST 2020","209","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptList[userId=-133744432730233274-id为石城榕]","
        钉钉-获取当前登录人部门列表
        "
"passed","Thu Mar 19 12:06:24 CST 2020","Thu Mar 19 12:06:25 CST 2020","960","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUser[userId=-133744432730233274-id为石城榕]","
        钉钉——获取用户详情
        :return:
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","212","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365508]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","178","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-236295909]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:28 CST 2020","97","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUserList[userId=-abc-userId错误]","
        钉钉-获取当前用户下所有员工
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","96","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-241141885]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:31 CST 2020","3441","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-隼行测试]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:31 CST 2020","3765","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUserList[userId=-28373101361631065137-id为严亮]","
        钉钉-获取当前用户下所有员工
        "
"passed","Thu Mar 19 12:06:29 CST 2020","Thu Mar 19 12:06:29 CST 2020","168","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-山东战区]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","208","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-241974895]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:24 CST 2020","Thu Mar 19 12:06:25 CST 2020","956","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUser[userId=-28373101361631065137-id为严亮]","
        钉钉——获取用户详情
        :return:
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","110","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365513]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","178","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:26 CST 2020","205","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365526]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","166","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-240450889]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","126","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptDetail[deptId=-240405944]","
        钉钉-获取部门详情
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:28 CST 2020","77","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingGetUserLeader[userId=--userId为空]","
        钉钉-获取用户上级详情
        "
"passed","Thu Mar 19 12:06:31 CST 2020","Thu Mar 19 12:06:32 CST 2020","615","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUserList[userId=-manager2564-id为曹林]","
        钉钉-获取当前用户下所有员工
        "
"passed","Thu Mar 19 12:06:34 CST 2020","Thu Mar 19 12:06:34 CST 2020","223","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptList[userId=-120048633333525706-id为蔡延伟]","
        钉钉-获取当前登录人部门列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:26 CST 2020","187","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-267097103]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","187","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365527]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","98","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-241396898]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:28 CST 2020","Thu Mar 19 12:06:30 CST 2020","2142","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-南部军区]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:26 CST 2020","113","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-947684115]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:30 CST 2020","Thu Mar 19 12:06:31 CST 2020","1450","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-广州战团]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","186","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365519]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:30 CST 2020","Thu Mar 19 12:06:33 CST 2020","2994","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-客户管理中心]","
        钉钉-获取部门下所有员工
        "
"passed","Thu Mar 19 12:06:30 CST 2020","Thu Mar 19 12:06:30 CST 2020","150","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingDeptUserList[deptName=-温州战团]","
        钉钉-获取部门下所有员工
        "
